Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary,Knowledge Graph-Based RAG for Multi-hop VQA — Paper Dictionary
GraphRAG-FI: Empowering GraphRAG with Knowledge Filtering and Integration,"Kai Guo, Harry Shomer, Shenglai Zeng, Haoyu Han, Yu Wang, Jiliang Tang",EMNLP 2025 (Main),2025-11-01,GraphRAG Pipeline Design,Directly tackles the hallucination-vs-over-suppression tradeoff in GraphRAG; filtering improves retrieval precision significantly; logits-based integration is model-agnostic and adds minimal overhead.,Filtering is designed for text-domain entity graphs; no extension to multimodal or video KGs; evaluated on standard text QA benchmarks only — temporal grounding not considered.,https://aclanthology.org/2025.emnlp-main.1293/
KERAG: Knowledge-Enhanced Retrieval-Augmented Generation for Advanced Question Answering,"Yushi Sun, Kai Sun, Yifan Ethan Xu, Xiao Yang, Xin Luna Dong, Nan Tang, Lei Chen",Findings of EMNLP 2025,2025-11-01,GraphRAG Pipeline Design,Combines noise filtering with CoT reasoning over KG subgraphs; fine-tuned LLMs reduce hallucination; strong generalization across simple and complex KGQA; large performance margin over GPT-4o.,Requires fine-tuned KGQA models; evaluated on structured KBs (Freebase/Wikidata) only; no support for video or multimodal KGs; KG must be pre-existing and well-structured.,https://aclanthology.org/2025.findings-emnlp.329/
Large Language Models Meet Knowledge Graphs for Question Answering: Synthesis and Opportunities,"Chuangtao Ma, Yongrui Chen, Tianxing Wu, Arijit Khan, Haofen Wang",EMNLP 2025 (Main),2025-11-01,GraphRAG Pipeline Design,Provides the most up-to-date taxonomy of LLM+KG integration patterns; identifies open research directions relevant to video/multimodal KG-RAG; essential reference for understanding where KG-RAG fits in the broader landscape.,Survey does not cover video-domain KG-RAG; temporal knowledge graphs and educational video content are not addressed; gap between text-domain findings and video applications is not bridged.,https://aclanthology.org/2025.emnlp-main.1249/
VideoRAG: Retrieval-Augmented Generation over Video Corpus,"Soyeong Jeong, Kangsan Kim, Jinheon Baek, Sung Ju Hwang",Findings of ACL 2025,2025-07-01,Non-KG Video RAG — Dense-Retrieval Baseline (included for comparison),First RAG system that uses LVLMs end-to-end for video retrieval and generation; handles visual content directly without caption pre-processing; outperforms text-only RAG baselines on video QA benchmarks.,Does not build a KG over video content — retrieval is pure dense embedding search; cannot perform multi-hop reasoning linking facts across multiple non-adjacent video segments; not designed for temporally-grounded span prediction.,https://aclanthology.org/2025.findings-acl.1096/
VideoRAG: Retrieval-Augmented Generation with Extreme Long-Context Videos,"Xubin Ren, Lingrui Xu, Long Xia, Shuaiqiang Wang, Dawei Yin, Chao Huang",KDD 2026 (32nd ACM SIGKDD),2026-08-01,Video-Specific KG and RAG,First peer-reviewed KG-RAG system for long-form video including lectures; cross-video KG enables semantic retrieval across multiple videos; dual-channel retrieval combines textual KG and visual embeddings; code and LongerVideos benchmark are public; from HKUDS lab (same group as LightRAG).,"Multi-hop is implicit through KG connectivity, not explicit path chaining; evaluation uses open-ended LLM-judge metrics (not VQA with ground-truth answers); no temporal span prediction (no mm:ss citation grounding); educational video treated as general domain — no curriculum-aware KG structure.",https://dl.acm.org/doi/10.1145/3770854.3783944
AdaVideoRAG: Omni-Contextual Adaptive Retrieval-Augmented Efficient Long Video Understanding,"Zhucun Xue, Jiangning Zhang, Xurong Xie, Yuxuan Cai, Yong Liu, Xiangtai Li, Dacheng Tao",NeurIPS 2025,2025-12-01,Video-Specific KG and RAG,"Adaptive level selection avoids over-retrieval on simple queries; KG built from multimodal video-grounded text (captions + ASR + OCR); evaluated on standard VQA benchmarks with ground-truth answers (VideoMME, MLVU, LongVideoBench); integrates visual and textual modalities at both indexing and retrieval stages.","Graph retrieval is single-pass LightRAG-style — implicit multi-hop only, no iterative path chaining; no temporal span prediction (mm:ss citations); adaptive level selection heuristic may misclassify complex multi-hop questions as simple; not evaluated on educational lecture content.",https://arxiv.org/abs/2506.13589
Vgent: Graph-based Retrieval-Reasoning-Augmented Generation for Long Video Understanding,"Xiaoqian Shen, Wenxuan Zhang, Jun Chen, Mohamed Elhoseiny",NeurIPS 2025 (Spotlight),2025-12-01,Video-Specific KG and RAG,Clip-entity graph preserves cross-segment semantic dependencies; structured query refinement filters irrelevant clips before generation — addresses the noisy retrieval problem; evaluated on proper VQA with ground-truth answers; NeurIPS Spotlight recognition; processes both visual frames and transcript content.,"Verification refines one batch of candidates rather than re-querying for missing facts — not explicit iterative multi-hop; no temporal span prediction; no educational lecture content evaluation; graph construction requires LVLM inference per clip, which is expensive at scale.",https://arxiv.org/abs/2510.14032
VHAKG: A Multi-modal Knowledge Graph Based on Synchronized Multi-view Videos of Daily Activities,"Shusaku Egami, Takanori Ugai, Swe Nwe Nwe Htun, Ken Fukuda",CIKM 2024,2024-10-21,Video-Specific KG and RAG,Proof-of-concept for video-grounded KGs using semantic triples; rich frame-level annotations link visual events to symbolic KG entities; demonstrates cross-modal retrieval via SPARQL over video KGs.,"Constructed from controlled simulation scenarios, not natural lecture/educational video; annotation is semi-manual and does not scale to long unstructured videos; no RAG pipeline is demonstrated — KG is used for benchmarking only.",https://dl.acm.org/doi/10.1145/3627673.3679175
Query-Driven Multimodal GraphRAG: Dynamic Local Knowledge Graph Construction for Online Reasoning,"Chenyang Bu, Guojie Chang, Zihao Chen, CunYuan Dang, Zhize Wu, Yi He, Xindong Wu",Findings of ACL 2025,2025-07-01,Multimodal KG-RAG — Image/Text Domain (Separate Section: Methodologically Transferable),Query-driven local KG avoids the cost of full global KG construction; multimodal (text + image) graph construction is directly transferable to lecture video chunks; interpretable reasoning paths through the local subgraph.,"Designed for image-text documents, not temporal video; subgraph extraction does not encode temporal ordering of content; no evaluation on educational or lecture-type datasets.",https://aclanthology.org/2025.findings-acl.1100/
MDKAG: Retrieval-Augmented Educational QA Powered by a Multimodal Disciplinary Knowledge Graph,"X. Zhao, G. Wang, Y. Lu","Applied Sciences, MDPI (Journal)",2025-08-18,Multimodal KG-RAG — Image/Text Domain (Separate Section: Methodologically Transferable),Directly targets educational domain (textbooks + lecture slides + video) — the closest existing work to the project's setting; multimodal KG covers visual and textual educational content; answer verification loop reduces hallucination.,"Video modality is treated as a source of extracted entities only, not for temporal grounding; no multi-hop reasoning across video segments; evaluated on closed-domain Chinese educational content — generalization to English lecture videos is untested.",https://www.mdpi.com/2076-3417/15/16/9095
KA-RAG: Integrating Knowledge Graphs and Agentic Retrieval-Augmented Generation for an Intelligent Educational Question-Answering Model,"F. Gao, S. Xu, W. Hao, T. Lu","Applied Sciences, MDPI (Journal)",2025-11-01,Multimodal KG-RAG — Image/Text Domain (Separate Section: Methodologically Transferable),Agentic retrieval strategy avoids retrieving irrelevant KG facts; KG provides structured curriculum relationships useful for multi-hop curriculum QA; practical architecture for educational deployment.,"Educational KG is constructed from structured curriculum data, not from unstructured lecture video transcripts; no temporal segment retrieval; single-hop KG retrieval in practice — multi-hop not evaluated.",https://www.mdpi.com/2076-3417/15/23/12547
LightRAG: Simple and Fast Retrieval-Augmented Generation,"Zirui Guo, Lianghao Xia, Yanhua Yu, Tu Ao, Chao Huang",Findings of EMNLP 2025,2025-11-01,"Single-Hop KG-RAG (Separate Section: KG-Based Pipeline, Single-Hop Reasoning)",Efficient KG-based RAG without multi-hop complexity; dual-level retrieval captures both specific facts and thematic context; incremental update algorithm allows adding new documents without full KG rebuild — useful for growing lecture corpora.,Single retrieval pass — no iterative reasoning for compositional questions; KG construction uses LLM entity extraction which can be noisy for technical lecture content; no temporal encoding of video segment order.,https://aclanthology.org/2025.findings-emnlp.568/
GRAG: Graph Retrieval-Augmented Generation,"Yuntong Hu, Zhihan Lei, Zheng Zhang, Bo Pan, Chen Ling, Liang Zhao",Findings of NAACL 2025,2025-04-01,"Single-Hop KG-RAG (Separate Section: KG-Based Pipeline, Single-Hop Reasoning)",First paper to jointly encode subgraph topology and text for LLM prompting; strong performance on multi-hop graph reasoning benchmarks despite single retrieval step; modular — subgraph retriever is swappable.,One subgraph retrieval per query — no iterative multi-hop path following; requires pre-existing textual graphs; no video or multimodal support; temporal ordering of nodes is not modeled.,https://aclanthology.org/2025.findings-naacl.232/
